Order_ID,Customer_ID,Product_Name,Category,Brand,Region,Order_Status,Order_Date,Quantity,Unit_Price,Discount,Total_Amount,Payment_Mode,Warehouse
ORD1031,CUST109,Resistance Band Kit,Sports & Fitness,ActiveEdge,North,Shipped,2026-02-04,3,1072.37,0,3217.11,Wallet,WH-KOL-05
ORD1032,CUST140,Leather Wallet,Fashion,StitchWorks,East,Completed,2026-06-12,3,2674.42,5,7622.1,Credit Card,WH-DEL-01
ORD1033,CUST135,The Pragmatic Programmer,Books,PageTurner Press,North,Completed,2026-02-03,6,884.86,0,5309.16,Wallet,WH-HYD-04
ORD1034,CUST135,Cycling Helmet,Sports & Fitness,ActiveEdge,North,Completed,2026-06-26,2,3954.45,20,6327.12,Net Banking,WH-KOL-05
ORD1035,CUST122,Robotic Vacuum Cleaner,Home & Kitchen,KitchenPro,North,Completed,2026-01-11,3,2284.65,0,6853.95,Wallet,WH-DEL-01
ORD1036,CUST101,Sunscreen SPF50,Beauty & Personal Care,HerbalRoots,South,Shipped,2026-03-02,2,1954.98,20,3127.97,UPI,WH-HYD-04
ORD1037,CUST124,Ceramic Dinner Set,Home & Kitchen,ComfortLiving,West,Shipped,2026-07-08,2,2766.85,20,4426.96,,WH-DEL-01
ORD1038,CUST101,Noise Cancelling Headset,Electronics,PulseTech,South,Shipped,2026-04-28,3,8184.62,20,19643.09,UPI,WH-BLR-02
ORD1039,CUST121,Adjustable Dumbbell Set,Sports & Fitness,PeakForm,East,Completed,2026-01-18,3,2651.68,10,7159.54,Cash on Delivery,WH-KOL-05
ORD1040,CUST127,Smart Fitness Band,Electronics,NovaGear,South,Cancelled,2026-03-09,1,3422.34,10,3080.11,Net Banking,WH-MUM-03
ORD1041,CUST123,Vitamin C Serum,Beauty & Personal Care,PureSkin,Central,Completed,2026-01-12,6,955.71,10,5160.83,Debit Card,WH-BLR-02
ORD1042,,Data Engineering Handbook,Books,InkWell Publications,Central,Completed,2026-02-01,6,829.03,10,4476.76,Net Banking,WH-HYD-04
ORD1043,CUST119,The Pragmatic Programmer,Books,PageTurner Press,South,Pending,2026-04-08,6,722.69,0,4336.14,Debit Card,WH-KOL-05
ORD1044,CUST143,Data Engineering Handbook,Books,InkWell Publications,East,Completed,2026-05-29,5,657.29,10,2957.8,Cash on Delivery,WH-HYD-04
ORD1045,CUST148,Memory Foam Pillow,Home & Kitchen,DomusCraft,South,Cancelled,2026-03-14,5,6141.76,10,27637.92,Net Banking,WH-DEL-01
ORD1046,CUST129,Ceramic Dinner Set,Home & Kitchen,ComfortLiving,South,Shipped,2026-02-07,1,891.82,10,802.64,Debit Card,WH-DEL-01
ORD1047,CUST114,Clean Architecture,Books,InkWell Publications,West,Completed,2026-02-07,6,680.34,20,3265.63,Credit Card,WH-HYD-04
ORD1048,CUST135,Ceramic Dinner Set,Home & Kitchen,DomusCraft,North,Pending,2026-02-01,4,1632.38,10,5876.57,Wallet,WH-KOL-05
ORD1049,CUST147,Herbal Shampoo 500ml,Beauty & Personal Care,PureSkin,Central,Shipped,2026-05-10,4,1685.55,10,6067.98,Cash on Delivery,WH-BLR-02
ORD1050,CUST104,Atomic Habits,Books,InkWell Publications,South,Shipped,2026-03-12,5,538.22,0,2691.1,Net Banking,WH-HYD-04
ORD1051,CUST145,Resistance Band Kit,Sports & Fitness,FitCore,East,Completed,2026-05-19,1,1226.11,0,1226.11,Cash on Delivery,WH-BLR-02
ORD1052,CUST149,Air Fryer 4L,Home & Kitchen,DomusCraft,West,Completed,2026-04-30,4,1028.26,20,3290.43,Cash on Delivery,WH-HYD-04
ORD1053,CUST147,Vitamin C Serum,Beauty & Personal Care,HerbalRoots,West,Pending,2026-04-01,3,1542.93,20,3703.03,Cash on Delivery,WH-KOL-05
ORD1054,CUST146,Adjustable Dumbbell Set,Sports & Fitness,PeakForm,South,Completed,2026-05-05,1,2904.34,15,2468.69,Wallet,WH-HYD-04
ORD1055,CUST108,Robotic Vacuum Cleaner,Home & Kitchen,KitchenPro,Central,Pending,2026-04-11,5,5296.33,0,26481.65,Credit Card,WH-HYD-04
ORD1056,CUST148,Clean Architecture,Books,PageTurner Press,East,Completed,2026-02-24,4,427.79,20,1368.93,Cash on Delivery,WH-MUM-03
ORD1057,CUST149,The Pragmatic Programmer,Books,PageTurner Press,West,Completed,2026-05-19,1,898.94,5,853.99,UPI,WH-DEL-01
ORD1058,CUST136,Yoga Mat 6mm,Sports & Fitness,FitCore,South,Completed,2026-01-06,5,1319.96,0,6599.8,Cash on Delivery,WH-DEL-01
ORD1059,CUST106,Robotic Vacuum Cleaner,Home & Kitchen,ComfortLiving,East,Completed,2026-06-05,6,6605.04,20,31704.19,UPI,WH-MUM-03
ORD1060,CUST144,Vitamin C Serum,Beauty & Personal Care,PureSkin,Central,Returned,2026-04-07,4,1890.72,0,7562.88,Credit Card,WH-KOL-05
